居住地,年龄,婚姻状况,收入,教育水平,性别,家庭人数,开通月数,无线服务,基本费用,免费部分,无线费用,电子支付,套餐类型,流失
2,44,1,64,4,0,2,13,0,3.7,0,0,0,1,1
3,33,1,136,5,0,6,11,1,4.4,20.75,35.7,0,4,1
3,52,1,116,1,1,2,68,0,18.15,18,0,0,3,0
2,33,0,33,2,1,1,33,0,9.45,0,0,0,1,1
2,30,1,30,1,0,4,23,0,6.3,0,0,0,3,0
2,39,0,78,2,1,1,41,0,11.8,19.25,0,0,3,0
3,22,1,19,2,1,5,45,0,10.9,0,0,1,2,1
2,35,0,76,2,0,3,38,1,6.05,45,64.9,1,4,0
3,59,1,166,4,0,5,45,0,9.75,28.5,0,0,3,0
1,41,1,72,1,0,3,68,0,24.15,0,0,0,2,0
2,33,0,125,4,1,1,5,0,4.85,0,0,1,1,1
3,35,0,80,2,1,1,7,0,7.1,22,0,0,3,0
1,38,1,37,2,1,3,41,0,8.55,0,0,0,1,0
2,54,1,115,4,1,3,57,1,15.6,46.25,61.05,1,4,1
2,46,0,25,1,1,2,9,0,4.4,0,0,0,1,0
1,38,1,75,5,0,4,29,0,5.1,0,0,0,2,0
3,57,0,162,2,0,1,60,0,16.15,29.75,0,0,3,0
3,48,0,49,2,1,3,34,0,6.65,18.5,0,0,3,0
2,24,0,20,1,0,1,1,0,1.05,0,0,0,1,0
1,29,1,77,4,0,4,26,1,6.7,0,38.3,1,4,1
3,30,0,16,3,1,1,6,1,3.75,0,18.7,0,2,1
1,52,1,120,1,0,2,68,0,20.7,0,0,0,1,0
3,33,0,101,5,1,2,53,1,5.3,0,51.4,1,4,0
3,48,1,67,1,0,3,55,0,15.05,0,0,0,1,0
3,43,1,36,1,0,5,14,0,12.5,19.75,0,0,3,0
2,21,0,33,2,1,3,1,0,2.2,20.75,0,0,3,0
2,40,0,37,2,1,1,42,1,8.25,23.5,37.4,1,4,0
3,33,1,31,1,0,4,25,0,9.1,0,0,0,3,0
1,21,1,17,2,1,3,9,0,2.9,0,0,0,1,0
2,33,1,19,4,1,2,13,0,5.55,0,0,1,2,0
1,37,1,36,1,1,2,56,0,10.6,0,0,1,2,0
1,53,1,155,5,0,2,71,1,21,56,49.95,1,4,0
1,50,1,140,2,1,4,35,0,6.5,27.5,0,0,3,0
1,27,1,55,5,0,3,11,0,4.8,0,0,0,2,0
2,46,1,163,3,0,2,60,1,33.9,38.25,55.25,1,4,0
3,35,1,52,4,0,2,20,0,4.25,0,0,1,2,1
2,60,0,211,4,0,1,54,1,21.15,39.25,54.85,1,4,0
1,57,1,186,2,0,2,44,1,9.8,33.5,41.65,0,3,0
1,41,1,39,1,1,2,11,0,6.55,29.25,0,0,3,1
2,57,0,22,2,1,1,72,0,41.75,49,0,0,3,0
3,41,0,30,1,0,1,10,0,2.5,19.25,0,0,3,0
2,28,0,29,2,1,1,15,0,4.25,30,0,0,3,0
2,28,1,23,2,0,5,27,0,6.2,0,0,0,1,0
1,36,1,62,4,0,6,9,1,5.65,0,48.5,1,4,1
1,43,1,76,4,1,4,64,0,14.7,18.75,0,0,3,0
1,41,1,74,4,0,2,65,0,14.5,0,0,1,2,0
1,51,1,63,4,0,5,49,0,12.85,25.75,0,1,2,0
3,41,1,36,4,0,2,47,1,7.75,0,38.8,1,4,1
3,34,1,33,2,1,4,9,0,2.95,0,0,0,1,1
1,36,0,29,2,1,1,5,1,3.25,31.5,26.75,1,3,1
2,34,1,27,2,0,5,30,0,6.3,0,0,0,1,1
1,52,1,49,2,0,4,56,0,24.75,0,0,0,2,0
3,22,0,24,4,0,1,10,1,7.8,23.75,30.05,1,4,0
1,26,1,26,2,0,5,7,0,4.85,15.5,0,0,1,0
1,27,0,47,3,0,2,52,0,6.25,18.5,0,1,1,0
2,45,1,94,2,1,5,36,0,7.2,15.75,0,0,1,1
3,34,0,21,3,1,1,27,0,7.65,0,0,0,2,0
1,62,1,27,1,0,2,58,0,15.5,0,0,0,1,0
2,52,0,30,2,1,1,41,1,10.4,28,27.5,0,3,0
2,40,1,127,4,1,4,47,0,19.7,0,0,1,2,0
2,39,1,137,2,1,2,55,0,12.7,27.5,0,0,3,1
2,50,1,80,2,1,4,56,1,28.8,55.5,61.1,0,4,0
3,55,0,30,2,0,1,35,0,10.25,0,0,0,1,0
2,51,1,438,4,1,2,69,0,29,0,0,0,4,0
2,39,0,79,2,0,1,44,1,15.25,24.5,30.05,1,4,1
3,47,1,63,1,0,2,36,0,9.05,0,0,0,1,0
3,51,1,40,3,1,6,28,0,8.95,21.25,0,0,3,0
1,67,1,51,1,0,2,72,0,57.05,51.5,0,0,3,0
1,27,0,37,3,0,4,16,0,6,0,0,0,1,0
3,43,0,61,4,1,1,3,1,3.15,0,17.95,1,1,1
1,57,1,22,2,0,2,40,0,8.55,0,0,0,1,0
3,39,0,44,4,1,1,16,0,6.6,0,0,1,2,0
1,42,0,17,3,0,1,20,0,7.8,0,0,0,1,0
2,43,0,110,5,1,3,48,1,7.25,0,20.65,1,2,0
2,48,1,91,2,0,2,64,1,24.5,24.75,29.65,0,3,0
1,46,0,46,2,0,1,8,0,3.15,0,0,1,1,0
1,38,1,85,3,0,2,40,0,10.6,0,0,0,3,1
2,71,0,10,2,0,1,38,0,11.2,0,0,0,1,0
1,68,0,244,1,1,1,67,0,30.25,30.25,0,0,3,0
1,42,0,80,4,1,1,26,1,7.85,44,43.75,1,4,0
3,34,1,83,5,1,2,41,0,8.9,33.75,0,0,4,0
2,31,0,21,1,0,1,2,0,1.65,0,0,0,1,1
3,48,1,24,2,0,2,20,0,11.85,22.5,0,0,4,1
2,53,0,351,3,1,1,31,0,5.5,31.5,0,0,3,0
2,52,1,169,4,1,4,45,0,14.65,0,0,0,2,0
2,27,1,46,2,0,4,33,0,7.25,0,0,1,1,0
1,26,0,34,3,0,1,10,0,4.85,0,0,0,2,0
2,54,1,50,4,0,2,62,1,17.25,0,33.25,1,4,1
2,35,0,161,5,1,1,4,1,3.4,23.75,35.75,1,4,1
1,47,1,212,4,0,2,42,0,7.45,26.75,0,0,3,0
3,51,1,80,5,0,3,27,0,7.1,0,0,1,2,0
2,42,0,30,4,1,1,38,0,13.2,27.5,0,0,1,0
3,61,1,53,5,1,2,52,1,12.25,0,35.95,1,2,0
3,33,0,73,5,1,1,35,1,5.85,38.25,40.35,1,4,0
3,20,1,17,2,1,4,3,0,3.75,0,0,1,1,1
2,33,0,23,5,0,1,17,1,10.2,0,30.9,1,4,1
1,53,1,34,1,0,2,55,0,5.7,0,0,0,3,0
3,36,1,107,1,1,3,43,0,11.55,12.75,0,0,2,1
2,25,1,21,1,1,2,47,0,8.65,30.5,0,0,3,1
3,58,0,83,2,1,1,65,0,19.3,0,0,0,2,0
1,20,0,17,3,0,5,13,0,3.05,0,0,1,4,0
3,25,1,76,3,1,6,64,0,24.05,0,0,1,3,0
2,24,0,19,1,0,1,12,0,4,24.75,0,0,3,1
1,32,1,49,4,1,3,29,0,6.7,0,0,1,2,1
2,47,0,173,3,1,1,23,0,7.6,0,0,1,2,0
2,35,0,47,3,1,1,14,1,5,21.75,24.15,1,2,1
1,61,0,41,2,0,1,35,0,9.6,0,0,0,1,0
3,39,0,105,3,1,1,26,1,6.6,39.75,38.25,1,4,0
1,54,0,31,4,0,1,13,0,5.85,0,0,1,1,0
2,40,1,41,2,0,3,69,0,25.25,0,0,0,2,0
3,50,1,102,4,1,3,61,0,12.6,0,0,1,2,0
2,22,1,36,4,1,5,45,0,9.95,14.75,0,0,2,1
2,37,0,24,1,1,1,3,0,2,0,0,1,1,0
2,22,0,25,4,0,2,53,0,12.05,0,0,1,2,0
1,42,0,68,2,1,1,59,0,17.3,21.25,0,0,3,0
1,34,0,20,3,1,1,13,0,4.8,0,0,0,1,0
3,31,0,48,1,0,1,31,0,3.8,0,0,0,3,0
1,29,1,40,2,1,5,40,0,13,0,0,0,3,0
1,55,0,79,1,0,1,48,0,13.8,0,0,0,3,0
3,31,0,28,1,0,1,3,0,3.45,15.5,0,0,1,1
2,48,0,64,2,1,1,51,0,14.8,0,0,0,1,0
3,41,0,37,2,0,1,33,0,12.2,0,0,0,1,0
3,47,1,48,1,0,2,14,0,4.25,11,0,0,1,0
1,42,1,131,5,0,3,17,1,5.8,0,21.65,1,2,1
3,29,1,18,2,0,3,19,0,5.4,0,0,1,1,1
2,36,0,38,2,1,1,58,0,10.15,0,0,0,2,0
3,23,0,37,2,1,3,22,1,5.35,0,24.7,1,4,0
2,31,1,60,4,0,5,29,0,9.6,0,0,1,2,1
3,22,1,13,3,1,4,14,0,9.45,0,0,0,2,1
2,64,1,98,1,1,2,70,1,26.15,84,45.45,0,4,0
1,52,1,195,1,0,2,62,1,23.15,36.75,34.3,0,3,1
2,35,1,47,1,0,5,7,0,5.2,0,0,0,1,1
1,47,1,65,2,0,3,56,1,12.4,48.75,58.4,0,4,0
1,50,1,150,5,1,4,50,0,19.3,0,0,1,2,1
2,39,0,106,5,0,1,57,1,9.05,24.25,39.6,0,3,0
3,40,0,51,4,1,1,2,0,4.25,0,0,1,1,0
2,38,0,96,4,1,1,40,0,9.3,0,0,0,1,0
2,43,0,33,5,0,2,6,1,4.25,0,26.75,0,3,0
3,25,1,38,2,1,3,23,0,13.9,23.25,0,0,3,0
3,32,0,125,4,0,1,11,1,3.8,19.25,58.25,1,4,1
1,37,1,145,5,1,4,29,1,8.6,24,28,0,4,0
1,44,1,99,2,0,3,42,0,22.05,34.75,0,0,3,0
1,34,1,22,4,1,3,20,1,4.85,18.25,31.65,1,4,0
2,60,1,31,1,0,2,72,0,32.25,0,0,0,2,0
1,36,0,25,1,1,1,2,1,1.9,15.75,24.15,0,3,0
3,25,0,57,5,1,2,46,1,20.25,21.25,28.35,1,1,0
2,51,1,41,5,0,6,39,1,12.1,20.5,35.35,1,4,0
3,25,1,20,3,1,2,24,0,8.15,0,0,0,2,1
3,43,1,101,2,1,5,59,0,13.65,0,0,0,2,0
1,37,0,56,2,0,1,65,0,10.25,0,0,0,2,0
2,27,1,22,2,1,3,50,0,17.2,0,0,0,1,0
1,37,0,108,4,1,1,57,0,21.8,27.25,0,0,3,0
3,48,0,115,4,1,1,61,1,12.8,16,31,1,4,0
3,54,0,53,4,0,1,34,1,8.1,18,66.9,1,4,0
3,53,0,242,4,0,1,38,1,8.95,37.75,50.75,1,4,0
1,24,1,20,2,1,5,3,0,3.35,22.5,0,0,3,0
2,47,0,123,4,0,1,4,0,2.5,0,0,1,1,0
2,35,0,34,1,0,1,15,0,3.95,0,0,0,1,0
1,29,1,31,4,1,5,25,0,12.95,0,0,1,2,1
3,44,0,47,1,1,2,21,0,7.05,0,0,0,3,0
3,37,1,48,3,1,2,50,0,12.9,27.75,0,0,3,0
2,64,1,13,2,1,3,65,0,14.6,33,0,0,3,0
2,52,1,78,1,0,2,59,0,18.6,0,0,0,1,0
3,26,0,34,1,1,2,29,0,6.5,0,0,0,3,0
1,46,0,81,5,1,1,60,0,17.45,0,0,1,2,0
1,45,1,86,2,0,2,71,0,45.05,0,0,0,2,0
3,27,1,26,4,0,4,38,1,12.2,0,28.05,1,4,1
3,34,1,51,2,1,5,16,0,4.7,0,0,0,1,0
3,31,0,59,3,0,1,7,0,2.45,0,0,1,1,0
1,53,0,112,4,0,1,59,1,21.1,0,25.3,1,2,1
2,56,1,57,4,0,2,22,1,6.2,18.25,28.8,0,4,0
1,48,1,41,1,1,2,18,0,4.35,13,0,0,1,0
2,46,1,168,2,1,2,64,1,14.2,71,62.45,1,4,0
2,33,0,29,4,1,3,7,0,4.65,0,0,1,1,1
3,58,0,167,2,1,2,65,0,24.3,0,0,0,2,0
3,24,0,29,2,0,3,7,0,4.45,13.5,0,0,1,1
1,55,0,104,1,1,1,64,0,15,0,0,0,3,0
3,22,1,46,4,0,2,42,1,9.35,20.25,36,0,4,1
3,26,0,46,4,1,3,33,1,11,17.5,32.05,1,4,0
1,33,0,51,4,1,1,3,0,2.9,0,0,0,1,1
2,42,1,65,2,0,2,69,1,14.2,30.5,66.55,1,4,0
2,33,0,48,2,0,2,9,0,3.15,13.25,0,0,1,0
3,34,1,46,3,0,4,22,0,7.1,0,0,0,2,0
2,63,1,43,2,0,2,53,0,14.85,0,0,1,2,0
3,53,0,110,1,0,1,71,0,17.45,0,0,0,2,0
3,26,0,32,3,0,3,24,0,4.25,0,0,1,1,0
3,22,1,18,3,1,2,12,0,4.65,0,0,1,1,0
1,39,1,26,4,0,4,25,1,14.45,0,24.75,1,2,1
3,28,1,34,2,1,6,63,1,15,40,45.1,0,3,0
1,54,1,57,4,1,3,33,0,7.5,30.25,0,0,3,1
2,54,1,21,2,1,3,57,0,10.6,0,0,0,1,0
3,33,0,38,3,1,1,13,1,5.05,18.5,28.85,1,4,0
1,21,0,19,3,1,1,13,0,7.9,0,0,0,2,1
1,39,0,40,3,0,1,71,0,36.25,27.75,0,0,3,0
3,69,1,58,3,0,2,18,1,6.35,27.25,63,1,4,0
1,51,1,95,2,1,2,17,0,7.45,0,0,0,1,1
2,43,0,114,2,0,1,22,0,9.25,0,0,0,1,0
2,65,1,128,3,0,2,65,0,21.2,24,0,0,3,0
3,40,0,33,4,1,1,7,0,2.8,0,0,1,1,0
3,66,0,460,4,1,1,72,0,89.4,0,0,0,4,0
1,43,0,224,3,0,1,35,0,7.7,0,0,0,1,0
1,39,0,122,4,0,3,24,1,4.45,26.25,35.9,0,4,0
1,24,1,23,3,1,5,64,0,7,0,0,0,2,0
2,63,1,191,3,0,2,63,0,12.7,0,0,0,2,0
1,31,1,187,4,0,3,38,1,12.65,21.25,47.85,0,4,1
2,37,1,119,3,0,3,29,0,4.6,0,0,0,1,0
1,69,1,44,2,1,2,72,0,99.95,0,0,0,3,0
1,27,1,15,3,1,2,10,1,7.5,12.75,39.5,1,4,1
3,64,0,674,4,1,1,72,1,49.6,32.75,60.15,0,3,0
3,23,1,33,4,1,2,52,0,13.1,18.25,0,0,3,0
3,55,0,250,2,1,2,13,0,4.1,0,0,0,1,0
1,33,0,64,4,0,2,3,0,2.15,0,0,1,1,1
3,24,1,26,2,0,4,39,0,10.4,0,0,1,1,1
2,29,0,23,3,0,2,28,0,3.7,0,0,1,2,0
2,42,0,52,4,0,3,46,0,14.25,0,0,0,2,0
2,46,0,200,3,1,1,62,0,26.25,0,0,0,1,0
2,33,1,28,1,0,2,23,0,6.9,0,0,0,3,0
3,25,1,19,5,0,3,23,0,6.95,25,0,1,4,1
2,61,1,76,3,0,2,72,1,54.8,67.25,55.5,0,4,0
3,60,0,70,2,0,1,56,1,7.75,0,26.15,1,1,0
1,30,0,34,2,1,1,8,0,4.25,0,0,0,3,0
3,36,0,34,5,1,3,3,0,2.7,13,0,1,4,0
3,37,0,172,3,0,1,37,0,6.85,0,0,1,1,0
3,53,1,48,1,0,3,37,0,12.55,23.5,0,0,3,0
2,30,0,45,2,1,1,6,0,1.35,0,0,0,1,1
1,47,0,72,3,0,5,48,1,15.3,28.5,32.55,0,4,1
2,43,1,55,4,1,4,43,1,9.1,40.75,50.6,0,4,0
2,29,0,40,4,1,4,21,1,4.5,17,33.4,0,1,0
3,33,0,26,3,0,1,6,1,6.1,18.75,22.8,0,3,1
2,51,0,96,1,0,4,69,0,33.95,87,0,0,3,0
1,33,0,54,1,0,1,22,0,11.05,22.25,0,0,3,0
1,40,1,47,2,1,3,28,0,8.1,29.5,0,0,3,0
1,47,1,142,1,0,2,71,0,32.2,0,0,0,2,0
2,37,0,57,4,0,1,7,0,3.8,0,0,0,1,0
1,29,0,20,3,0,2,63,1,13.3,31,96.25,1,4,0
2,57,0,37,1,0,1,53,0,7.7,0,0,0,2,0
2,52,1,36,4,0,4,50,1,11.95,55,85.85,1,4,0
2,31,1,24,4,0,2,39,0,13.9,0,0,1,4,0
3,19,0,21,2,1,1,16,0,5.25,0,0,0,1,0
3,51,1,186,3,0,2,43,1,18.9,59.75,59.15,0,4,0
3,31,0,30,1,1,3,44,0,8,0,0,0,1,0
2,66,1,96,2,1,2,72,1,35.15,34.75,50.7,1,4,0
3,76,0,15,1,0,1,61,0,18.6,52.75,0,0,3,0
3,21,1,25,1,0,4,43,0,7.6,0,0,0,2,1
3,39,0,49,3,1,1,24,0,7.45,0,0,0,1,0
3,45,0,38,2,1,1,64,0,13.75,22.75,0,0,3,1
2,38,0,29,2,0,2,64,0,17.5,15.5,0,0,2,0
1,26,0,55,2,1,1,24,0,7.6,0,0,0,1,0
3,55,1,64,3,1,3,33,0,5.15,14.5,0,0,1,0
2,33,1,42,4,1,5,33,1,8.8,0,23.35,0,2,0
1,40,0,134,4,0,1,2,0,3.9,0,0,1,1,0
2,48,1,82,1,1,5,42,0,9.3,25,0,1,4,0
1,54,1,153,5,0,2,52,1,11.05,0,30.15,1,2,1
1,66,0,144,2,1,1,45,0,7.75,0,0,0,2,0
3,25,0,22,4,0,2,3,0,2.85,0,0,1,4,1
2,53,1,35,1,1,4,37,0,21.3,0,0,0,3,0
2,57,0,82,4,1,1,28,0,4.05,0,0,1,2,1
3,63,1,61,1,0,2,40,0,10.9,0,0,0,1,0
2,33,0,102,2,0,1,37,1,16.3,0,37.9,1,4,0
3,27,0,31,3,0,5,7,1,4.15,15,41.85,1,4,1
1,56,0,170,1,1,1,71,0,14.2,27,0,0,4,0
2,46,0,26,2,1,1,19,0,6.05,0,0,1,1,0
2,40,0,85,3,1,1,61,0,13.65,29.25,0,1,3,0
3,53,1,183,2,1,2,70,0,32.9,0,0,0,2,0
2,55,1,67,1,1,2,60,0,10.75,0,0,0,1,0
3,45,1,42,1,1,2,48,0,9.25,0,0,0,1,0
1,63,1,31,1,0,2,8,0,2.25,13.75,0,0,3,0
2,58,1,96,2,0,4,58,0,12.5,23,0,0,3,0
1,24,1,24,3,0,5,16,0,9.4,0,0,0,3,0
2,33,0,53,2,1,1,33,0,5.05,0,0,0,1,0
2,25,0,18,1,1,1,39,0,6.75,0,0,0,3,0
1,51,0,43,4,0,2,62,1,27.15,0,41.15,1,2,0
1,34,0,104,3,0,1,50,1,27.5,21.75,47.9,1,4,0
2,55,0,26,1,0,1,48,0,12.15,0,0,0,1,0
3,62,0,56,2,1,1,31,0,4.3,22.25,0,0,3,0
2,33,1,49,2,0,5,65,0,42.9,17.25,0,0,2,0
1,58,0,80,1,1,1,36,0,8.5,0,0,0,2,0
1,46,0,318,3,1,1,61,0,28.9,39.25,0,0,3,0
2,42,0,35,4,0,1,48,0,12.9,0,0,0,3,0
3,45,0,29,1,0,1,35,0,8.4,0,0,0,1,0
1,28,0,43,5,0,5,51,1,11.15,35,80.35,1,4,0
2,51,1,80,5,0,2,49,1,5.75,0,36.7,1,4,1
1,39,1,30,3,1,3,35,0,6.85,27.75,0,0,3,1
1,70,0,9,3,1,1,58,1,23.3,0,35.15,0,2,0
1,35,1,23,2,0,5,23,0,6.7,0,0,0,3,0
2,39,1,58,4,1,2,26,1,8.65,21.25,19.65,0,3,0
1,37,1,52,1,1,4,38,1,12.2,41.5,54.4,0,4,0
1,66,1,14,3,1,2,35,0,4.7,31,0,0,3,0
2,50,0,110,2,1,1,37,0,9.65,28.5,0,0,3,0
2,43,1,60,2,0,2,48,0,15.5,19.25,0,0,2,0
3,43,1,123,3,0,5,13,0,3.85,23,0,1,4,0
1,63,1,15,5,0,2,72,0,20.6,0,0,0,3,0
1,27,0,47,4,1,2,30,0,10.75,0,0,0,2,1
1,43,0,138,4,1,1,24,1,6.65,20.25,24.65,0,3,0
2,51,1,359,3,0,2,25,1,5.75,27.5,21.4,0,4,0
2,52,0,214,3,0,1,50,1,11.5,26.25,48.3,1,4,0
2,40,0,64,1,0,1,28,0,6,27.5,0,0,3,0
3,51,0,50,4,0,1,34,0,16.15,0,0,1,1,0
1,32,0,88,3,0,1,48,1,6.15,33.75,44.75,0,4,0
2,36,1,86,2,1,2,42,0,9.8,0,0,0,2,0
3,65,1,17,1,1,2,67,0,21.7,26.25,0,0,3,0
1,41,1,25,2,0,3,17,0,6.45,0,0,1,3,0
1,38,1,46,2,0,2,29,0,8.35,0,0,1,2,0
3,61,0,361,1,1,1,66,0,12.75,0,0,0,2,0
2,21,0,18,3,1,1,1,0,2.7,0,0,1,1,1
1,33,1,14,4,0,3,28,1,4.55,15.75,23.95,1,4,1
1,35,1,34,3,0,2,15,0,5.15,0,0,1,2,1
2,64,0,9,2,1,1,12,0,3.8,30,0,1,3,0
3,49,0,39,2,1,1,48,1,7,24.5,30.75,0,4,1
2,25,1,18,3,0,4,59,0,20.1,0,0,0,1,0
3,26,1,25,4,0,2,8,0,3.15,0,0,1,1,1
1,52,0,46,5,1,1,45,0,9.4,0,0,1,2,1
1,39,1,94,4,1,4,25,0,3.95,0,0,0,2,1
1,44,1,26,3,0,2,21,1,7.55,41,35.75,0,4,0
2,68,1,335,1,1,3,17,1,3.55,18.75,27.9,0,4,0
2,45,0,25,3,0,1,41,1,7.8,0,23.2,1,1,1
1,45,1,99,3,1,2,13,0,8.7,0,0,0,3,1
2,26,1,30,2,1,5,1,0,1.05,0,0,1,1,1
3,31,1,35,2,1,3,3,1,4.35,12.75,21.5,1,4,1
1,27,1,51,5,1,2,23,0,3.9,0,0,0,1,1
3,42,0,49,3,0,1,26,1,3.5,25,27.7,1,4,1
1,51,1,54,1,0,3,37,0,9.55,16.5,0,0,3,0
3,30,0,46,4,0,1,5,0,4.3,0,0,1,2,1
1,27,1,91,4,1,3,32,1,5.5,16,41.3,1,4,1
3,22,0,23,4,0,2,12,0,4.05,0,0,0,1,0
1,54,1,345,1,0,2,72,0,75.45,0,0,0,3,0
3,25,1,45,4,1,2,3,0,3,15.75,0,1,1,1
1,43,0,53,2,0,1,54,0,14.35,32.25,0,0,3,0
2,26,0,14,2,1,1,26,1,7.8,36.5,27.9,1,4,1
3,36,0,67,5,1,1,14,0,14.05,0,0,0,1,0
3,51,0,49,3,0,1,22,0,9,0,0,1,1,0
3,47,1,37,1,1,4,65,0,19.05,0,0,0,1,0
