居住地,年龄,婚姻状况,收入,教育水平,性别,家庭人数,开通月数,无线服务,基本费用,免费部分,无线费用,电子支付,套餐类型,流失
3,45,0,33,1,0,1,26,0,9.6,24.25,0,0,1,0
1,37,0,46,3,1,4,20,1,4.9,0,41.35,1,4,0
2,60,1,93,1,0,4,67,0,18.85,0,0,1,2,0
1,55,0,48,2,0,1,34,0,4.25,0,0,0,1,0
1,54,1,183,2,0,3,37,0,7.3,20.5,0,0,3,0
2,23,1,16,1,0,4,22,0,5.4,0,0,0,1,0
2,69,0,11,2,0,1,5,0,6.65,9.75,0,0,1,0
1,31,1,42,4,1,3,28,0,12.25,23.75,0,0,3,0
1,41,1,67,4,1,4,20,0,7.25,0,0,0,1,0
3,41,0,181,4,0,1,72,1,27.3,23.25,52.4,1,4,0
2,43,0,53,4,0,1,30,0,7,0,0,1,1,0
3,52,0,172,2,0,1,71,1,49.25,41.5,68.1,0,4,0
2,44,0,87,2,0,1,56,0,14.75,42.25,0,0,3,0
1,29,1,21,5,0,2,8,0,4.15,0,0,0,1,1
2,65,0,9,2,1,1,32,0,6.25,0,0,1,2,0
2,47,0,144,3,1,2,46,0,3.5,28.25,0,0,3,1
3,45,1,117,4,0,3,60,1,12.4,28,52.9,1,4,0
2,32,1,59,4,1,6,42,1,16.7,38.25,72.6,0,4,0
3,60,1,508,4,0,4,71,0,23.55,48.25,0,0,4,0
2,63,1,222,2,1,2,72,0,81.55,62.25,0,0,3,0
3,66,0,87,3,1,1,45,0,6.05,0,0,0,1,0
3,31,0,34,1,0,1,5,1,1.6,17.25,19.85,0,3,1
2,38,1,18,4,1,4,17,0,8.55,0,0,0,2,0
2,55,0,65,3,0,1,70,0,26.7,42.75,0,0,3,0
3,57,1,130,3,1,2,57,0,13.55,0,0,1,2,0
1,33,0,44,3,1,1,20,0,6.4,0,0,1,2,0
1,52,1,63,1,0,3,72,0,41.95,25.75,0,0,3,0
3,50,0,57,4,0,1,32,1,4.6,38.5,23.5,0,3,0
3,57,1,264,1,1,2,22,0,3,0,0,0,3,0
2,24,0,28,1,0,2,6,0,4.4,9,0,0,3,1
3,23,1,26,3,1,6,32,0,11,24,0,0,4,0
1,33,0,38,4,0,1,38,0,10.95,0,0,1,2,0
1,35,0,59,3,1,1,53,0,16.85,23.25,0,0,3,0
3,76,0,117,4,1,1,37,0,7.5,0,0,0,1,0
1,35,1,70,4,1,2,47,1,10.75,33,45.85,1,4,1
3,59,0,104,2,0,1,69,0,16,30.5,0,0,3,0
3,56,0,71,3,1,1,63,0,18.4,0,0,0,1,0
1,34,1,70,3,1,3,61,1,18.85,30,47.3,1,4,1
1,38,1,56,4,0,2,56,1,25.1,26.75,27.4,1,4,0
3,57,1,68,1,0,2,40,0,13.35,25.75,0,0,3,0
2,45,0,80,2,1,1,61,0,18.1,0,0,0,2,0
2,26,0,21,4,0,6,16,1,3.55,11,30.8,1,4,0
2,43,0,69,3,1,1,7,0,4.45,0,0,0,1,0
3,31,1,39,2,1,2,20,0,7.75,0,0,0,1,0
2,38,0,90,2,0,4,35,0,6.8,17.75,0,1,2,0
1,37,1,64,5,1,2,60,0,14.85,0,0,0,2,0
2,25,0,28,2,0,1,47,1,7.75,19.75,31.15,1,4,0
2,28,1,24,2,1,6,33,0,7.5,0,0,1,1,0
3,34,0,44,2,0,1,12,0,4.05,0,0,0,1,0
1,31,0,32,4,1,2,10,0,5.4,0,0,1,2,1
2,33,1,52,4,1,3,69,0,29.95,0,0,0,3,0
1,20,0,15,3,1,1,23,0,7.5,0,0,0,2,0
1,31,0,46,3,0,2,53,0,27.1,18.5,0,0,2,0
2,57,1,107,2,1,2,60,1,17.55,30.75,46.7,0,3,0
2,33,0,56,2,0,1,33,0,13.45,0,0,0,1,0
3,40,1,40,4,1,4,67,1,24.35,0,37.45,1,4,0
3,38,1,56,3,0,3,15,0,5.4,18,0,0,3,0
3,31,1,46,2,1,4,64,1,24.15,0,33.2,1,2,0
2,49,1,51,2,0,2,46,0,7.25,0,0,0,1,1
2,60,1,12,1,0,3,72,1,53.75,68.5,43.95,0,4,0
1,43,1,34,5,0,3,61,1,25.05,39,51,1,4,1
3,27,0,27,2,1,5,54,1,12.4,35,43.5,1,4,0
3,36,0,42,3,1,1,28,0,12.9,28.25,0,0,3,0
2,38,0,119,5,0,3,28,1,5.05,0,42.65,1,4,1
2,43,0,146,1,1,1,32,1,18.3,33.5,17.45,0,3,0
2,46,0,51,2,1,3,52,0,12.5,0,0,0,2,0
1,62,0,86,1,1,1,48,1,16.35,33.5,30.6,1,3,0
3,42,1,27,3,1,2,52,0,19.65,31,0,0,3,0
1,43,0,38,3,0,1,37,0,8.1,0,0,0,2,0
1,52,0,928,3,0,3,41,0,7.65,25,0,0,3,0
2,27,1,21,2,1,3,43,0,12.65,0,0,0,2,0
3,60,0,24,1,1,1,67,0,25.1,0,0,0,3,0
3,52,1,91,1,1,2,61,0,13.8,0,0,0,1,0
3,39,1,38,2,1,4,70,0,30.3,26.5,0,0,3,0
3,32,1,96,4,1,4,44,1,5.25,22,57.8,1,4,0
3,45,0,96,3,0,1,46,0,10.95,0,0,1,2,0
3,34,0,54,3,0,1,39,0,6.5,0,0,0,1,0
2,59,0,1668,4,1,1,39,0,8.2,15,0,0,2,0
2,29,1,53,4,1,4,50,1,13.2,46,46.4,0,4,0
3,31,0,21,3,1,2,5,0,2.6,0,0,1,1,1
2,34,0,52,5,1,1,10,1,4.3,0,25.4,1,2,1
1,69,0,17,3,1,1,72,0,38.2,0,0,0,2,0
2,60,0,262,2,1,1,68,0,31.6,0,0,0,3,0
3,28,0,34,5,1,1,58,0,19.9,0,0,1,2,0
3,44,1,107,1,1,7,18,0,2.25,0,0,0,1,0
1,45,1,67,5,1,2,65,0,9.85,20.75,0,0,3,0
3,45,0,37,4,0,1,8,0,4.65,0,0,1,2,1
2,20,0,21,2,1,2,1,0,.9,0,0,1,1,1
3,58,0,22,1,1,1,42,0,3.6,0,0,0,2,0
1,25,1,71,3,1,5,4,0,3.6,0,0,1,1,0
3,35,0,77,3,1,1,17,0,8.1,15,0,0,3,0
2,24,1,18,4,1,5,8,1,2.95,17,34.3,1,4,1
1,37,1,50,2,1,2,49,0,4.2,0,0,0,2,0
1,46,1,33,4,0,2,56,0,22.7,0,0,1,2,0
1,57,1,94,1,0,2,62,0,11.95,32,0,1,4,0
2,57,1,209,1,1,4,42,0,9.45,0,0,0,1,0
1,32,0,31,4,0,2,13,1,5.05,35.5,23.3,0,3,0
1,46,1,66,2,0,4,69,0,21.85,0,0,0,2,0
2,59,0,51,1,0,2,45,0,5.95,0,0,0,1,0
2,42,1,118,2,0,2,66,0,26.8,0,0,0,2,0
2,35,0,25,2,0,1,15,0,4.75,0,0,1,1,1
1,44,1,59,3,1,3,41,0,12.1,0,0,1,2,0
2,20,0,20,2,1,1,11,1,4.75,23,42.7,1,4,1
3,30,1,63,5,0,4,45,1,7.1,40.75,50.85,1,4,1
1,62,0,36,4,0,1,52,0,13.35,18.5,0,0,1,0
1,56,0,72,4,1,1,42,1,8,0,40.05,1,4,0
2,35,0,50,1,0,3,48,0,12.85,21.75,0,0,3,0
3,31,0,39,2,0,2,4,1,4.9,26,36.4,1,4,1
3,64,1,54,2,1,2,53,1,9.65,39.25,74.8,1,4,0
3,59,0,9,1,0,1,1,0,3.8,26.5,0,0,3,0
3,30,1,33,4,0,3,19,0,4.05,22.25,0,1,4,0
2,30,0,28,1,0,1,33,0,7.4,0,0,0,1,0
3,36,1,44,2,0,3,42,1,7,26.5,26.1,0,3,0
1,32,0,34,4,1,2,60,0,23.95,0,0,0,2,0
2,51,1,68,4,1,3,57,0,16.05,18.75,0,0,3,0
1,39,0,37,1,0,1,64,0,10.2,0,0,0,1,0
2,20,1,18,3,0,3,28,1,7.7,0,32,1,4,0
1,35,1,55,2,0,4,29,0,15.65,21.75,0,0,3,1
1,31,1,21,1,0,5,46,0,8.95,0,0,0,3,0
1,41,1,29,3,0,4,22,0,12.75,0,0,0,1,1
2,56,0,9,2,0,2,10,0,3.2,0,0,0,1,0
3,41,0,138,2,1,1,50,0,12.35,19.75,0,1,2,1
1,65,0,28,4,1,1,55,1,18.6,46.25,41.2,0,4,0
2,54,0,62,1,0,1,15,0,3.15,0,0,0,1,0
1,32,1,37,3,1,3,31,1,4.6,19.75,56.45,0,4,0
3,44,0,83,1,1,1,5,0,4.65,0,0,0,2,1
2,63,0,168,1,1,2,69,0,14.5,44.25,0,0,3,0
2,27,1,33,4,0,6,26,1,5.85,25.5,34.15,1,4,1
3,33,1,66,3,1,4,10,0,7.1,21.25,0,0,1,1
1,30,0,18,4,0,3,26,0,7.25,25.5,0,0,4,1
3,30,0,20,1,1,1,25,0,8.55,21.75,0,0,3,0
3,23,1,19,3,0,4,30,0,7.9,0,0,1,2,0
1,39,1,25,2,0,4,21,1,8.5,27,31.25,0,3,0
1,46,0,119,5,1,1,71,1,42.85,0,111.95,1,4,0
3,48,1,323,4,0,4,11,1,5.25,30,25.75,0,3,1
1,30,1,45,1,1,2,24,0,6,0,0,0,1,0
1,59,1,197,4,0,2,65,0,45.4,0,0,1,2,0
1,34,1,56,3,1,3,16,0,9.35,0,0,0,1,1
3,51,1,24,4,0,2,37,0,8.2,0,0,1,2,0
1,30,0,25,3,0,1,5,0,2.4,14.75,0,0,3,1
1,55,1,26,5,1,2,3,0,6.4,0,0,1,2,1
1,32,0,33,4,0,2,5,0,3.2,0,0,1,1,1
1,44,1,150,2,0,2,60,1,20,63.5,36.8,1,4,0
2,37,1,99,2,1,3,19,0,8,0,0,1,2,1
3,40,0,50,4,1,2,54,1,22.8,0,33.05,1,4,0
2,41,0,81,3,1,4,25,0,7.4,0,0,0,3,0
2,36,0,21,1,0,2,1,0,1.35,0,0,1,2,1
3,68,0,273,3,1,1,54,0,18.35,0,0,1,1,0
1,31,1,39,3,1,7,14,0,4.4,0,0,0,1,0
3,28,1,17,2,0,4,14,0,5.8,0,0,1,1,1
2,45,1,115,3,1,4,10,0,5.7,0,0,1,2,1
1,23,0,27,2,1,3,7,0,3.65,9.5,0,0,1,0
2,45,0,35,1,0,1,33,0,5.65,24,0,0,3,1
1,23,0,20,2,0,1,3,0,4.65,0,0,1,1,0
2,58,1,92,1,0,3,56,0,8.25,0,0,0,1,0
2,56,0,207,2,1,1,54,0,9,25.25,0,0,3,0
1,55,1,40,1,0,5,72,0,34.25,0,0,0,2,0
1,29,0,40,2,0,1,18,0,9.5,0,0,0,3,0
3,29,0,55,4,0,1,25,0,5.25,24.75,0,1,1,1
1,62,0,26,1,1,1,42,0,8.75,0,0,1,1,0
3,37,0,41,2,0,1,4,0,2.8,13.5,0,0,1,0
2,50,1,203,4,0,2,12,1,4.95,22,28.3,1,1,1
2,64,1,380,2,1,2,53,0,12.85,40.25,0,0,3,0
2,38,1,104,4,0,7,13,1,10.25,21.5,58.85,1,4,1
3,31,1,24,3,0,4,18,0,12.15,0,0,1,2,0
3,42,1,81,3,1,5,67,1,24.4,41.25,36.7,0,4,0
2,24,0,17,1,0,1,6,0,3.25,21,0,0,3,0
1,46,0,45,1,1,1,25,0,5.4,16,0,0,3,0
2,39,0,32,2,0,1,15,0,3.45,0,0,1,2,1
3,35,0,57,4,0,1,32,0,8.6,11,0,0,2,0
2,39,0,63,4,0,1,22,0,6.2,0,0,1,2,1
2,22,0,25,4,0,1,8,1,8,32.25,19.45,0,3,0
1,31,1,22,1,0,2,3,0,3.4,0,0,1,1,1
2,54,0,155,2,0,1,32,0,16.35,0,0,0,1,0
1,54,0,30,2,0,1,49,0,15.5,0,0,0,2,0
2,28,0,46,3,1,1,2,1,3.45,0,15.1,1,4,0
1,47,0,68,4,1,2,39,0,8.3,0,0,1,2,1
1,33,0,67,2,0,2,42,0,6.7,0,0,0,2,0
1,36,0,69,3,0,1,28,1,6.05,25.25,36.6,1,4,0
2,46,1,47,2,0,5,41,1,6.3,41.25,50.95,0,4,0
3,50,1,83,2,0,2,67,0,29.45,0,0,1,2,0
1,40,0,34,2,1,1,38,0,4.25,0,0,0,2,0
2,38,0,45,2,1,4,18,1,2.7,31.5,23.4,1,4,1
2,42,1,29,2,1,2,6,1,4.3,25.75,31.9,0,4,0
2,36,0,21,2,1,3,4,0,3.3,0,0,0,1,0
1,23,1,30,3,1,4,13,0,5.15,24.25,0,0,4,0
1,35,0,78,4,0,1,20,1,5.5,0,35.25,1,4,1
1,49,1,61,3,1,2,34,0,12.65,34.25,0,0,3,0
1,29,1,90,5,0,4,46,1,16.85,40.5,39.8,0,4,0
1,41,0,43,2,0,1,48,0,19.5,0,0,0,2,0
3,61,1,301,2,0,2,69,1,26.05,36.75,38.45,0,3,0
1,34,1,32,2,0,4,32,0,9.25,0,0,0,1,0
1,29,0,41,2,0,2,29,0,4.75,23,0,1,2,0
3,52,0,127,1,1,3,55,0,7.05,0,0,1,2,0
3,60,1,271,1,1,2,72,0,21.7,0,0,0,3,0
3,26,0,32,3,1,1,29,0,3.4,0,0,0,1,1
2,25,1,36,4,1,5,50,1,13.05,0,40.85,1,4,0
3,50,1,293,3,0,2,35,0,12.25,0,0,1,1,1
3,63,0,41,3,0,1,11,0,4.15,0,0,1,1,1
1,29,0,39,3,1,1,9,0,4.2,0,0,1,1,0
2,48,0,58,1,0,1,51,0,19.2,25.75,0,0,3,1
1,34,1,28,1,1,3,33,0,13.4,0,0,0,2,0
1,20,0,15,2,0,2,25,0,10.7,23,0,0,3,0
3,34,0,105,4,1,4,31,0,6.45,0,0,0,3,0
2,40,1,80,4,1,2,67,1,33.05,21.75,48.05,1,4,0
3,45,0,36,2,0,3,55,0,25.65,41.75,0,0,3,0
3,50,0,112,4,1,1,19,1,7.15,0,46.55,1,4,0
1,34,1,55,4,1,4,39,1,18.45,33.75,47.85,0,4,0
2,35,1,40,4,0,2,52,1,10.75,33.5,44.6,0,3,0
3,37,1,23,2,1,5,55,0,12.95,32.5,0,0,3,0
2,62,0,28,4,1,1,25,1,8.3,14.75,47,1,4,1
3,58,0,21,2,1,1,33,0,8.8,0,0,0,1,0
2,35,0,63,4,0,2,48,0,13.4,0,0,0,3,1
2,31,1,52,4,0,3,48,1,8.15,26.5,55.55,1,4,0
2,57,0,189,1,1,3,49,0,11,0,0,0,1,0
3,32,1,50,1,0,3,54,0,18.15,46.25,0,0,3,1
1,32,1,23,1,0,4,45,0,9.85,0,0,0,1,0
3,37,1,33,2,1,5,4,0,2.45,0,0,1,1,1
3,27,1,29,3,1,3,49,0,10.4,0,0,1,2,1
2,35,0,96,3,0,1,23,1,6.4,0,46.2,1,4,1
2,44,0,80,5,0,1,31,0,14.05,9.25,0,1,2,1
2,44,1,68,2,0,5,55,0,6.6,43.5,0,0,3,0
1,28,0,30,1,1,6,9,0,4.2,0,0,0,1,0
2,57,1,34,2,0,3,55,0,14.6,0,0,0,1,0
1,30,0,35,2,1,3,34,0,9.05,21.5,0,1,3,0
1,23,0,36,2,0,3,10,0,8.55,14.75,0,0,3,0
2,76,0,35,3,1,1,62,0,17.25,0,0,1,2,0
2,36,0,62,3,0,2,51,1,5.65,36.25,40.4,0,4,0
1,48,0,94,1,0,1,65,0,10.4,0,0,0,2,0
3,33,0,60,1,0,2,53,1,17.65,28.5,28.55,0,4,0
1,35,0,118,2,0,1,23,0,7.9,0,0,1,1,1
3,30,0,135,4,0,3,1,0,1.1,5.75,0,1,1,1
3,55,0,80,2,1,1,66,0,14,30.75,0,0,3,0
3,27,1,21,3,1,2,8,0,3.65,0,0,1,2,0
3,28,1,22,1,1,5,18,0,3.15,173,0,0,1,0
3,32,1,63,4,0,4,36,0,6.2,0,0,0,2,0
1,40,0,142,2,1,1,13,0,8.45,0,0,0,1,1
3,44,0,32,3,1,1,4,0,2.1,13.75,0,0,3,1
3,32,0,19,3,0,1,20,0,6.85,0,0,1,2,0
1,39,1,60,4,0,3,66,1,20.15,39.25,36.4,1,4,0
3,47,1,97,1,0,4,67,0,22.4,0,0,0,3,0
1,24,1,31,2,1,4,11,1,5.4,16,33.55,1,4,1
1,26,0,30,3,1,2,6,0,6.35,0,0,0,1,1
2,23,1,31,1,1,4,13,1,4.6,0,27.7,1,1,0
2,29,1,44,2,1,6,2,1,2.1,16.25,33.6,1,4,1
1,40,0,38,2,0,1,4,0,8.15,0,0,0,1,0
1,63,1,23,2,1,2,34,1,14.3,19.5,28.95,1,4,0
1,34,1,37,3,0,4,13,0,6.85,0,0,0,3,0
2,40,1,26,2,0,5,37,0,18.9,0,0,1,2,0
1,30,1,38,2,0,6,45,0,12.75,0,0,0,3,0
2,70,0,153,3,1,1,71,1,30.55,46.25,46.7,0,3,0
1,40,0,49,1,1,1,35,0,3.4,0,0,0,1,0
3,41,0,51,3,0,1,44,0,4.95,0,0,1,1,0
3,45,1,88,1,0,2,44,0,11.9,25.25,0,0,3,0
1,41,1,19,1,1,6,26,0,5.45,0,0,0,1,0
2,46,1,31,1,1,3,42,0,5.9,0,0,0,1,0
2,47,1,90,2,0,3,41,0,6.7,0,0,0,1,1
1,24,1,14,1,0,4,31,0,7.2,0,0,0,1,0
3,63,0,341,2,0,1,62,0,14.6,0,0,0,3,1
1,23,1,24,4,1,8,12,1,3.2,41,35.4,0,4,0
2,49,1,81,2,1,4,45,0,13.85,50.5,0,0,3,0
1,34,1,63,2,1,4,47,0,18.95,0,0,0,1,0
2,22,1,27,1,0,5,23,0,7.9,23,0,0,3,0
3,34,0,20,5,1,1,39,1,9.55,21.25,79.2,1,4,0
2,26,0,48,3,0,2,19,0,7.55,0,0,0,3,0
1,54,0,121,4,0,1,13,0,7.3,0,0,0,3,0
2,33,0,39,3,0,3,5,0,2.1,19.5,0,1,4,1
2,19,0,21,2,0,1,11,0,3.6,0,0,1,1,1
3,32,0,53,4,0,1,4,0,7,11,0,1,1,1
3,42,0,58,1,0,1,17,0,5.05,0,0,0,2,1
2,27,0,39,3,0,1,7,0,3.55,0,0,0,1,1
1,65,0,108,1,0,3,19,0,5.95,21.5,0,0,3,0
2,34,1,38,1,0,4,32,0,7.35,0,0,1,2,0
2,51,0,245,4,0,1,53,0,18.45,28.25,0,0,2,0
1,38,0,51,1,1,1,51,0,11.7,26,0,0,3,0
1,34,0,78,4,1,1,35,0,13.9,0,0,0,1,0
1,31,1,23,4,0,5,3,1,2.8,16.5,21.7,1,4,1
1,48,0,88,4,0,1,22,0,4.5,0,0,0,1,1
3,21,1,25,2,1,3,17,0,6.1,0,0,1,3,0
2,39,0,73,2,1,1,68,0,44.95,15.75,0,0,2,0
2,41,1,62,4,1,2,27,0,13.7,16.25,0,0,3,0
3,52,1,456,3,1,4,68,1,22.25,27.5,29.75,0,3,0
3,42,1,24,2,0,2,56,0,33.65,0,0,0,3,0
3,32,0,23,2,1,1,11,0,6.2,0,0,1,1,0
3,47,0,46,1,1,1,5,0,2.95,0,0,0,1,1
3,50,0,263,2,1,3,16,1,3.75,17,21.9,1,3,0
2,30,0,34,4,1,1,59,0,16.7,0,0,0,2,0
1,64,0,33,2,0,1,60,1,30.75,22.25,47.4,1,4,0
3,47,0,37,1,0,1,55,0,14.75,20.25,0,0,3,0
1,56,0,296,2,0,1,18,0,3.4,0,0,0,1,0
2,22,0,26,3,1,3,16,0,4.1,0,0,1,2,1
1,57,1,47,4,0,2,35,0,7.25,0,0,0,2,0
3,23,1,31,3,1,2,31,1,16.6,19,51.35,1,4,1
2,49,1,264,2,1,2,20,0,9.6,0,0,0,1,0
2,27,0,41,4,1,1,16,1,6.9,15.75,30.95,1,4,1
2,48,1,55,2,0,2,69,0,19.6,35.75,0,0,3,0
3,66,1,49,2,0,2,69,0,23.1,29.25,0,0,1,0
2,24,1,26,1,1,4,27,0,6.05,0,0,0,1,1
3,39,0,110,4,0,1,48,1,18.05,30.25,30.4,0,3,0
1,52,1,66,1,1,2,18,0,12.8,27.75,0,0,1,0
2,40,1,39,3,1,2,24,1,4.05,25.75,22.5,0,3,0
2,42,0,31,2,0,1,17,1,8.25,24.5,26.4,1,4,1
2,24,1,26,4,1,3,9,0,7.65,0,0,0,1,0
2,46,0,232,4,1,2,15,1,4.3,23,31.3,1,4,1
1,37,1,43,4,1,3,62,0,9.2,0,0,0,2,0
1,41,0,39,4,0,1,9,1,4.7,0,20.8,1,1,1
2,41,1,73,2,1,2,71,0,32.65,0,0,0,3,0
2,59,1,74,1,0,2,62,0,16.1,36,0,0,3,0
2,38,0,237,4,0,1,20,1,6,21.25,26.9,0,4,0
1,33,1,22,1,0,5,19,0,3.95,0,0,0,3,0
2,61,1,21,1,0,2,49,0,15.85,24.75,0,0,3,0
3,64,0,9,2,0,1,3,0,4.95,0,0,0,1,1
1,36,0,41,5,0,1,33,1,4.15,0,27.05,1,1,1
2,44,0,50,4,1,1,38,0,7.15,0,0,1,2,1
3,48,1,27,3,1,3,42,1,16.5,36,28.4,1,4,0
1,26,0,53,3,0,1,11,1,4.15,21.5,38.8,1,4,1
3,28,1,58,3,0,2,27,0,5.8,22.5,0,0,3,0
3,50,0,151,4,1,1,23,0,8.25,21.75,0,0,1,0
2,38,1,54,2,0,2,4,1,4.75,26.25,24.45,0,3,0
3,42,0,31,1,1,1,36,0,10.05,0,0,0,1,1
2,42,0,115,1,1,1,37,0,15.1,0,0,0,3,0
3,58,1,24,1,0,2,24,0,7.65,16,0,0,1,0
3,24,0,17,2,0,3,4,0,3.2,0,0,0,1,1
3,33,0,47,2,1,2,54,0,13.9,32,0,0,3,0
3,49,0,36,1,1,1,7,0,8.85,19.5,0,0,3,1
1,28,0,75,4,0,1,10,1,6.2,27.5,36.3,1,4,1
3,35,1,41,5,1,2,24,0,3.3,0,0,1,2,0
3,31,0,18,4,0,1,12,0,3.7,0,0,1,1,1
2,54,0,171,3,1,1,45,0,9.05,18.5,0,0,3,0
3,55,1,42,3,1,2,59,0,8.95,0,0,0,2,0
1,21,1,36,3,1,4,3,0,3.2,0,0,0,1,0
3,35,0,31,5,0,1,8,1,4.4,17.25,42.05,1,4,1
1,59,0,207,2,1,2,16,0,7.45,15.5,0,1,4,0
3,33,0,38,1,1,1,32,0,7.3,0,0,0,1,0
1,49,0,134,4,1,1,8,1,3,30.5,60.3,1,4,1
1,28,1,28,3,0,3,9,0,4.5,0,0,1,2,1
