居住地,年龄,婚姻状况,收入,教育水平,性别,家庭人数,开通月数,无线服务,基本费用,免费部分,无线费用,电子支付,套餐类型,流失
2,19,1,15,2,1,4,12,0,5.85,0,0,0,2,0
2,43,1,48,4,0,6,24,1,14.4,25.75,36.95,1,4,0
3,75,0,14,2,1,1,72,0,37.3,0,0,0,2,0
3,61,0,101,4,1,1,58,0,16.35,0,0,0,2,0
1,44,1,87,2,0,3,70,0,18.9,47.5,0,0,3,0
3,25,0,27,1,1,1,9,0,12.2,0,0,0,1,1
1,25,0,27,5,1,1,49,1,9.9,0,26.9,1,2,0
3,54,0,59,3,0,1,52,1,15.25,32.5,39.3,0,3,0
1,42,1,294,4,1,6,10,1,4.85,27.5,36.85,1,4,1
1,52,1,44,3,0,2,14,1,4.85,0,14.9,0,3,0
1,27,1,35,2,0,6,19,0,5.4,20.5,0,0,4,0
3,36,1,205,4,1,4,12,1,5.95,0,32,1,2,1
1,59,0,732,3,1,1,65,0,10.15,0,0,1,2,0
1,40,1,59,3,0,2,67,0,27,30,0,0,3,0
2,24,1,23,1,0,2,29,0,10.2,32.25,0,0,3,0
3,46,0,87,2,1,1,55,0,17.9,0,0,1,1,0
3,67,1,110,1,1,2,71,0,33.85,21.75,0,0,3,0
3,44,1,83,3,1,3,5,1,4,26.25,21.95,0,3,1
3,58,0,63,4,1,3,60,0,16.35,28,0,1,2,0
2,40,0,22,3,1,1,10,0,5.05,0,0,0,1,1
3,64,0,43,3,0,1,52,1,12.85,28.5,37.15,0,4,0
2,43,1,35,2,0,3,61,0,21.05,15.5,0,1,2,0
1,29,1,48,2,0,4,61,0,17.55,0,0,0,2,0
2,47,1,69,3,0,3,67,0,49.35,27,0,0,3,0
3,42,1,26,4,0,4,41,0,10.95,0,0,0,2,0
1,28,0,20,1,1,1,30,0,12.4,0,0,0,1,1
1,46,0,43,2,0,1,24,1,12.05,48.25,28.15,1,4,0
1,75,0,33,1,1,1,72,0,49.3,31.75,0,0,2,0
2,35,0,66,2,0,1,17,1,5.15,0,28.05,1,4,1
2,72,0,12,2,0,1,65,0,29.6,0,0,0,3,0
1,30,1,90,2,0,5,15,1,7.35,18.5,23,1,4,0
1,33,0,35,3,1,1,34,0,7.5,0,0,0,2,1
1,43,0,51,5,1,1,26,0,7.9,0,0,0,2,1
2,45,0,117,3,1,1,36,0,10.5,0,0,1,2,0
1,48,0,100,2,1,1,60,0,24.4,42.25,0,0,3,0
1,54,0,147,1,0,4,16,0,6.95,23.25,0,0,3,0
2,33,0,53,4,1,1,1,0,1.95,0,0,0,1,1
3,30,1,57,5,0,4,56,0,16.85,0,0,1,2,0
2,50,0,37,2,0,1,6,0,5.35,0,0,1,2,0
2,34,0,42,3,1,1,48,0,14.15,0,0,0,2,0
2,36,1,50,1,0,2,34,0,10.2,24.5,0,0,3,0
2,42,1,55,4,0,5,54,1,14.3,55.5,83.7,1,4,1
3,31,1,42,2,1,4,38,0,10.8,22.25,0,0,4,0
2,55,0,37,1,1,1,25,0,10.95,0,0,0,1,1
1,69,1,228,3,1,4,47,1,10.8,35.5,50.9,1,4,1
1,62,1,163,5,0,2,72,1,28.35,32.75,56.55,0,4,0
2,35,1,28,4,1,3,6,1,3.25,23,30.3,0,4,0
1,51,1,118,5,1,2,30,0,6.4,0,0,0,1,0
1,70,1,115,2,1,2,65,1,26.85,26,33.75,1,4,0
1,44,1,37,4,0,2,22,0,14.3,35.25,0,0,3,0
1,53,0,93,1,0,1,60,0,13.35,39.5,0,0,3,0
2,32,0,71,4,1,1,19,1,5.25,21.5,47.8,1,4,1
3,25,0,26,2,1,3,18,0,3.3,27.5,0,0,1,0
1,37,1,14,4,1,6,9,0,2.4,0,0,0,1,1
1,34,1,18,1,1,2,1,0,1.6,0,0,0,1,1
3,28,1,36,4,1,3,10,1,6.3,19.75,22.65,1,4,0
3,34,1,43,4,0,4,45,0,6.55,0,0,1,2,1
1,28,1,41,4,1,4,25,1,5.8,14.25,26.6,1,3,1
3,39,0,66,2,1,1,66,0,11.6,0,0,0,2,0
1,67,0,33,4,1,1,27,0,3.6,17.75,0,0,3,1
1,41,0,53,4,0,1,19,0,6.45,0,0,0,1,0
2,41,1,28,4,0,6,17,0,1.8,0,0,0,1,0
2,36,0,58,4,0,1,16,0,4.85,18,0,1,1,0
1,42,1,129,4,1,3,8,0,6.1,0,0,1,1,0
1,25,0,65,4,1,1,3,0,3.3,0,0,1,4,1
3,57,0,311,3,1,1,59,0,28.75,0,0,0,1,0
2,37,0,57,3,1,1,45,0,10.8,0,0,1,2,0
1,62,0,47,2,1,1,66,0,34.25,21,0,0,2,0
3,50,1,25,1,0,2,28,0,14.85,0,0,0,1,0
1,38,1,46,5,0,3,15,0,3.85,0,0,0,1,1
3,34,1,51,3,1,4,39,1,7.9,78.75,38.8,0,4,0
3,33,0,19,2,1,2,38,0,8.5,14.25,0,0,3,0
3,29,0,26,3,1,2,34,0,6.75,0,0,1,2,0
3,57,1,72,5,0,2,60,1,20.35,29,55.9,1,4,0
3,65,1,71,1,1,4,72,0,53.65,22.5,0,0,3,0
1,42,1,41,2,0,8,42,0,15,29.25,0,0,3,0
3,37,0,44,2,0,1,32,0,11.25,0,0,1,1,0
3,50,1,208,4,1,2,48,1,12.9,22.75,41.25,1,4,1
3,37,1,45,4,1,6,63,0,14.95,0,0,1,2,0
3,27,1,39,3,0,4,45,0,13.45,0,0,0,2,0
2,42,0,89,4,0,1,68,0,25.6,0,0,1,2,0
1,29,1,19,2,1,2,6,0,4.2,0,0,0,1,0
1,57,1,15,2,1,2,68,1,16.1,49,50.6,1,4,1
3,68,1,59,2,1,2,72,1,58.65,24,48.85,0,4,0
3,38,1,20,3,1,4,53,1,12.05,0,20.25,1,2,0
3,51,1,27,4,0,3,20,0,9.05,24.75,0,1,3,0
2,35,1,48,2,0,3,70,0,43.6,0,0,0,2,0
3,47,0,135,2,1,1,32,0,10.5,0,0,0,1,0
2,52,1,19,1,0,2,61,0,18.2,24.75,0,0,3,1
1,25,1,28,4,0,3,24,1,10.6,0,23.4,1,2,0
2,61,1,12,1,1,2,56,0,16.85,0,0,0,1,0
3,59,0,28,2,0,1,54,1,10.7,0,19.05,0,2,0
3,38,1,18,3,1,3,43,1,9.4,0,29.4,0,4,0
1,35,0,58,3,1,1,19,1,3.65,37,43.05,0,4,1
3,43,0,72,3,1,1,5,0,5.55,15.75,0,0,3,0
1,61,1,112,4,1,4,24,0,8.2,0,0,1,1,1
3,35,1,28,2,1,2,62,0,18.45,0,0,0,2,0
2,40,0,398,5,1,1,14,1,6.4,18,47.7,1,4,1
3,48,1,106,3,1,3,60,1,13.05,44.25,69.55,0,4,0
2,74,1,10,1,1,2,30,0,7.25,30.25,0,0,3,0
1,42,1,108,3,0,4,40,0,4.95,0,0,1,2,1
2,50,1,85,2,1,4,42,0,14.3,0,0,0,1,0
1,34,0,51,3,1,1,20,0,5.65,0,0,0,2,1
1,22,1,22,2,1,3,4,0,2.25,0,0,0,3,0
2,49,1,66,2,1,4,44,1,4.25,43.25,39.55,0,4,0
3,63,0,10,2,0,1,49,0,13.9,33.25,0,0,3,0
3,36,1,34,1,1,2,5,0,3.5,19.5,0,0,3,1
3,50,1,67,1,0,4,70,0,51.9,0,0,0,2,0
1,57,1,19,1,0,4,30,0,7.25,0,0,0,1,1
2,48,0,128,4,1,1,28,1,10,20.75,55.3,1,4,1
1,28,1,39,5,0,6,5,1,4.7,24.25,32.5,0,4,0
2,35,0,56,1,1,1,27,1,8.25,32.5,33.85,1,4,0
2,39,0,45,4,1,1,17,0,8.65,0,0,1,1,1
1,37,1,25,1,1,5,4,0,2.5,0,0,0,1,0
1,23,1,24,2,1,4,30,0,13.35,22.5,0,0,3,0
3,40,1,53,4,1,2,71,1,10.15,40,38.35,0,4,0
3,77,0,49,1,1,1,67,0,25.35,0,0,0,1,0
3,48,1,38,1,1,2,24,0,5.55,0,0,0,1,0
1,54,1,84,3,1,2,24,0,11.45,0,0,1,1,1
2,54,0,126,1,1,1,59,0,13.6,28.75,0,0,3,0
3,32,0,73,4,0,1,59,0,29.2,21.5,0,1,2,1
3,37,1,41,4,1,6,44,0,9.15,0,0,1,2,0
1,31,1,22,4,0,3,19,0,4.85,0,0,0,2,1
2,46,1,23,1,1,2,58,0,11.1,0,0,0,1,0
1,53,1,94,2,0,2,41,0,12.65,0,0,0,2,0
2,33,0,30,3,0,4,16,1,9.25,21,41,0,3,1
3,36,0,31,2,0,1,13,0,2.3,0,0,0,1,1
1,53,0,171,1,1,1,60,0,9.9,31.75,0,0,3,0
2,49,1,102,1,1,6,72,0,41.15,0,0,0,2,0
2,39,0,27,4,1,1,33,1,9.7,21.75,61.6,1,4,0
2,45,1,98,4,1,2,72,1,30.25,0,42.85,0,4,0
1,54,1,591,4,1,2,66,1,25,34.25,53,0,4,0
3,37,1,25,1,1,6,53,0,5.4,52,0,0,3,0
2,28,1,36,4,0,4,22,1,9.7,21.5,42.9,1,4,0
2,26,1,25,2,1,3,14,0,4.4,0,0,0,3,0
1,49,0,69,2,1,2,52,1,18.35,0,34.5,0,3,0
3,30,1,22,1,0,2,33,1,5.55,33.75,30,0,3,0
3,66,0,67,2,1,1,72,0,39.1,65,0,0,3,0
1,40,1,73,4,1,4,40,1,10,0,27.15,0,3,1
2,26,0,22,4,1,1,29,1,6.1,0,35.55,1,4,1
3,67,0,9,2,0,1,63,0,18.05,0,0,0,3,0
2,54,0,147,3,1,1,56,1,12.7,24.5,34.2,1,2,0
3,50,1,239,2,1,2,60,1,21.5,77.75,64.2,0,4,0
3,22,1,23,3,0,5,28,0,10.95,0,0,1,1,0
2,39,0,29,4,0,1,39,0,5.95,0,0,0,2,0
3,39,1,32,2,0,4,65,0,21.1,0,0,0,3,0
3,31,0,30,3,1,1,29,0,7.6,33.75,0,0,3,0
3,36,0,57,2,1,2,28,0,9.6,21.75,0,0,3,0
1,18,0,20,2,0,1,2,1,3.75,22.25,27.1,0,3,1
3,52,0,248,2,1,3,67,0,35.85,39.75,0,0,3,0
3,35,1,59,3,1,5,5,1,3.1,18.5,26.4,1,4,0
3,35,0,24,2,0,1,48,0,16.95,43,0,0,3,0
2,26,1,25,1,1,3,10,0,3.7,0,0,0,1,0
2,28,0,37,3,1,1,17,0,5.5,0,0,0,3,1
1,24,1,30,4,1,5,21,1,17.8,23.75,31.75,1,4,0
2,51,0,66,4,0,2,25,1,6.45,16.25,34.55,1,4,0
3,31,0,16,1,0,1,44,0,14.4,0,0,0,1,1
2,49,0,429,4,1,2,59,1,10.2,24.25,43.35,1,4,1
2,26,0,20,2,0,1,11,0,6.95,0,0,0,1,0
2,68,1,262,3,0,2,50,1,12.4,20.5,25.15,1,3,0
3,25,1,28,3,1,5,23,0,4.15,0,0,0,2,0
1,19,0,18,2,1,2,17,0,7.1,0,0,1,2,1
1,62,1,144,3,0,2,15,1,5.25,15.5,33.95,0,3,0
2,57,1,33,1,1,2,68,0,13.5,0,0,0,2,0
1,42,1,19,3,1,2,69,0,25.95,0,0,1,1,0
1,24,1,30,1,1,5,30,0,6.75,0,0,0,1,1
3,30,0,41,2,0,1,22,1,6.1,22.75,21.35,0,3,0
2,20,1,20,2,1,4,10,0,5.9,0,0,0,1,1
1,59,1,65,3,1,6,72,0,34.65,0,0,0,2,0
2,24,1,17,4,1,2,34,0,15.25,0,0,0,3,0
2,49,1,66,1,0,4,43,0,8.6,0,0,0,3,0
3,37,1,18,4,0,3,31,1,5.2,19.5,39.8,1,4,0
2,27,1,26,4,0,5,6,0,5.6,12,0,0,1,1
2,42,0,46,4,0,1,48,0,14.45,0,0,0,3,0
2,25,0,19,1,0,3,50,0,7.25,0,0,0,1,0
3,41,1,58,2,1,2,20,0,5.25,0,0,0,2,0
3,73,0,25,1,0,1,61,0,16.65,0,0,0,1,0
2,21,0,15,2,1,1,6,0,3.65,0,0,0,1,0
2,22,0,35,2,0,1,1,0,1.65,0,0,1,1,1
1,43,0,41,2,1,1,21,1,6.15,23.75,37.25,1,4,1
3,32,0,71,4,0,2,7,1,3.6,15.25,28.05,1,4,0
3,56,1,608,3,1,2,65,1,14.55,69.5,68.3,0,4,0
1,37,0,44,4,1,1,64,0,16.15,0,0,1,2,0
3,30,0,41,2,0,2,4,0,2,0,0,0,3,1
1,45,1,83,3,1,2,67,0,27,0,0,1,2,0
2,35,0,28,2,0,2,22,0,6.6,0,0,0,2,1
3,37,1,101,2,1,2,51,0,14.95,0,0,0,3,0
1,28,0,28,1,1,1,50,1,6.4,17.25,22,0,3,0
1,47,1,35,2,0,2,31,0,11.95,0,0,0,1,0
3,28,0,39,2,1,1,4,0,7.1,15,0,0,3,1
3,56,0,51,4,0,1,60,1,15.25,0,67,1,4,0
3,31,1,31,2,1,6,7,0,5.05,0,0,1,1,1
3,40,0,209,4,1,1,20,0,7.2,0,0,1,2,0
2,23,1,37,3,1,4,19,0,8.4,17.5,0,0,3,1
3,37,1,64,4,1,2,58,1,10.8,58.75,109.7,1,4,1
3,64,0,88,3,1,1,65,1,15.1,36.25,48.8,1,4,1
3,61,1,61,1,0,3,72,0,27.35,0,0,0,2,0
3,42,0,66,3,0,1,8,1,1.95,0,21.5,1,4,0
2,40,1,19,3,0,2,33,0,5.05,0,0,0,1,0
3,34,1,42,2,1,5,18,0,6.45,19,0,0,4,0
2,31,1,41,2,0,5,24,0,8.5,20,0,0,3,0
3,36,0,50,1,1,1,70,0,20.55,0,0,0,2,0
1,38,0,70,4,0,1,7,1,3.85,19.25,17.7,1,4,1
3,59,0,85,1,1,1,70,0,38.9,62.5,0,0,3,0
2,48,1,45,3,1,2,20,1,10.7,33,29.4,0,3,1
3,32,1,27,1,0,2,54,0,33.95,0,0,0,2,0
3,48,0,29,1,0,1,36,0,6,0,0,0,1,0
3,53,1,48,4,1,2,71,0,34.95,28.75,0,0,3,0
1,41,0,32,2,0,1,17,0,12.6,9.5,0,0,3,0
1,45,1,43,1,0,3,18,0,4.45,17,0,0,3,0
1,27,0,16,5,1,1,16,1,5.45,17.75,33.9,1,4,1
3,30,1,22,2,1,2,38,0,5.6,0,0,1,2,0
1,45,1,40,3,1,3,52,1,8.45,0,34.1,1,4,0
1,48,1,256,3,0,6,46,1,13.8,31.75,66,0,4,0
2,46,0,144,4,0,1,31,0,7.6,15.25,0,1,3,0
2,31,0,45,4,0,2,23,0,5,11.75,0,1,2,0
2,56,1,34,2,1,3,38,1,7.8,0,24.65,0,3,0
2,54,0,248,3,1,1,50,1,11.05,17.25,29.15,0,3,0
2,49,0,41,2,0,1,16,1,4.1,14,31.8,0,4,0
2,34,1,27,4,1,2,14,1,6.05,23.5,37.85,1,4,0
2,52,0,17,3,1,1,30,0,10.3,0,0,0,2,1
3,47,1,44,4,1,3,22,1,9,21.25,57,1,4,1
1,55,1,135,2,0,4,38,0,12.15,31.75,0,1,4,0
3,26,1,41,4,1,3,59,1,12.65,0,29.15,0,2,1
2,55,0,587,3,0,1,54,0,13,0,0,0,3,0
3,40,0,38,4,1,1,9,1,3.35,21,59.55,1,4,1
1,67,1,49,2,1,2,67,0,14.3,0,0,1,2,0
2,44,0,33,3,1,2,24,0,4.65,0,0,1,1,0
2,55,1,36,1,1,2,12,0,5.95,0,0,0,2,1
1,47,0,54,3,0,1,26,1,7.1,16,23.5,1,2,0
2,32,0,58,2,0,4,3,1,2.75,15.75,28.55,1,4,1
2,46,0,23,5,1,2,20,0,4.75,0,0,1,4,0
3,52,1,97,5,0,2,5,1,3.1,16.5,40.3,0,4,1
3,53,0,207,3,1,1,58,1,7.3,29.5,62.8,1,4,1
1,28,1,21,3,0,4,54,0,10.4,0,0,0,1,0
2,39,0,119,3,1,1,52,0,10.5,25,0,1,1,0
2,30,1,25,1,1,4,38,0,3.95,0,0,0,1,0
2,46,0,59,3,0,1,19,0,5.6,9,0,0,1,0
2,33,1,24,1,0,4,22,0,7.1,0,0,1,1,0
1,35,1,113,4,0,5,49,0,16.1,0,0,1,2,0
3,39,0,22,1,1,2,5,0,4.7,19,0,0,3,0
2,69,0,11,1,0,1,18,0,3.85,0,0,0,1,0
3,29,0,33,1,1,4,43,1,22.05,18.75,24.95,0,3,0
3,50,0,205,5,0,1,17,1,6.95,21.25,36.65,1,4,1
2,33,0,41,3,1,3,37,0,9.2,0,0,1,2,1
2,39,0,39,1,1,1,8,0,3.15,10.75,0,0,1,0
2,46,1,107,2,1,6,51,1,17.3,25.75,37.4,0,3,0
1,55,1,198,1,1,3,71,0,17.8,44.25,0,0,3,0
1,53,1,100,5,1,2,56,0,14.15,0,0,1,2,0
3,68,0,1131,2,0,1,70,1,14.85,57.5,39.5,0,3,0
1,53,0,360,3,1,2,62,0,31.9,53.25,0,0,3,0
1,52,1,162,2,1,2,50,1,12.85,24.25,42.85,1,4,0
3,31,0,29,5,1,3,1,0,1.45,0,0,1,1,1
3,26,0,38,4,0,2,15,0,7.4,0,0,1,4,1
3,55,1,82,3,1,2,72,0,62.3,0,0,1,2,0
2,47,1,159,2,0,4,69,0,25.2,0,0,0,3,1
2,44,0,201,2,0,1,32,0,7.65,28,0,0,3,0
1,25,1,27,4,1,2,19,0,9.55,20.5,0,0,3,1
2,54,0,57,3,1,1,42,1,8.7,0,47.5,1,4,0
3,49,0,45,1,0,1,51,0,15.7,0,0,0,1,0
2,22,1,17,2,1,4,32,0,4.8,28,0,0,3,1
3,55,1,61,1,0,2,26,0,4.25,29,0,0,3,0
2,44,1,418,4,0,2,39,0,7.05,27.5,0,0,4,0
2,53,0,152,2,1,1,72,1,43.25,50.5,44.9,0,4,0
2,39,0,38,4,0,2,4,1,2.8,22.75,30.2,0,4,1
2,50,1,151,4,0,3,54,1,21.95,40.25,21.8,0,3,0
1,40,1,23,4,1,3,34,1,5.95,25.75,37.7,1,4,0
1,25,1,33,4,1,3,20,1,4.55,16,27.05,1,1,0
3,49,0,26,1,0,1,14,0,6.5,0,0,0,1,0
1,59,0,89,1,1,1,61,0,17.35,35,0,0,3,0
2,24,0,25,4,0,1,4,0,3.75,0,0,0,1,1
3,48,0,59,2,0,2,16,0,7.85,20.25,0,0,3,1
1,41,0,55,2,1,3,13,0,4.85,0,0,1,1,0
2,37,1,25,3,1,2,53,0,9.95,0,0,1,2,1
2,36,1,39,2,1,7,58,1,16.4,38.25,57.05,1,4,1
2,38,1,56,1,1,2,25,1,10.55,0,23.65,0,3,0
1,61,1,155,3,0,2,71,0,23.9,27.5,0,0,3,0
1,33,1,119,5,1,4,22,1,4.3,23.25,60.35,1,4,1
1,48,1,64,3,0,2,46,1,10.2,26.5,23.2,1,3,0
3,50,1,333,5,0,2,66,0,10.3,0,0,0,2,0
1,58,1,26,2,1,3,69,1,32.65,33,50.65,0,4,0
2,49,1,33,4,0,4,38,1,6.85,0,25.15,1,2,0
3,35,0,46,3,0,1,16,0,5.1,0,0,1,1,0
3,39,1,41,2,0,4,44,0,7.55,16.25,0,1,4,0
1,50,0,31,1,0,1,50,0,11.95,0,0,0,3,0
3,23,0,29,4,1,1,10,1,4.95,32,50.45,1,4,0
2,41,0,94,2,0,1,7,1,3.85,28,41.4,1,4,0
3,48,0,288,3,0,1,71,0,30.9,0,0,0,1,0
3,39,1,31,1,1,5,16,0,5,0,0,0,1,0
3,20,0,25,2,1,2,6,0,1.9,20.75,0,0,3,0
2,55,0,269,2,0,1,46,0,10.1,39,0,0,3,0
3,49,1,203,3,0,4,51,0,17.6,22,0,0,3,0
3,34,0,22,2,0,2,5,1,3.6,12.5,19.3,1,1,1
2,54,1,25,2,1,4,49,0,14.65,0,0,0,1,0
3,51,1,222,5,0,2,49,0,12.25,0,0,1,2,0
1,30,1,76,3,0,2,26,0,9.45,0,0,1,1,0
3,39,0,55,2,1,1,22,1,5.4,38.75,50.2,1,4,1
3,45,1,46,3,0,2,51,1,20.7,34.75,48.65,0,4,0
1,27,1,56,4,0,4,19,1,4.75,0,37.7,1,4,1
1,36,0,79,3,1,5,9,1,5.8,27.75,25.9,0,3,1
3,25,1,51,3,1,2,15,0,3.15,0,0,0,1,0
2,63,0,61,1,0,1,57,0,12.7,38.25,0,0,3,0
3,45,0,41,1,1,2,48,0,10.2,0,0,0,1,0
2,53,1,50,2,1,2,9,0,3.1,0,0,1,1,1
1,52,0,82,1,0,1,61,0,12.1,0,0,0,3,0
3,53,0,108,1,0,1,72,1,32.55,35.5,40.75,0,3,0
3,60,0,14,2,1,1,57,0,16.1,14,0,0,3,0
2,51,0,46,1,0,1,57,0,15.1,0,0,0,2,0
1,60,1,46,1,0,3,37,0,8.8,37.75,0,0,3,0
3,51,0,146,4,0,2,45,0,20.25,0,0,1,1,0
3,39,1,36,1,1,5,45,0,15.2,0,0,0,1,0
2,44,0,83,1,1,1,55,0,17.35,24.5,0,0,3,0
2,27,0,17,3,0,5,24,0,5.2,18.5,0,0,2,1
3,20,0,18,3,0,1,1,1,4.2,0,16.85,1,1,1
2,23,1,24,1,1,4,34,0,6,28,0,0,3,0
3,37,1,48,3,1,4,14,0,4.9,14.5,0,0,1,0
3,32,0,47,1,0,1,6,0,3.85,23.75,0,0,3,0
3,30,0,25,4,0,2,24,1,8.7,47.75,64,1,4,1
2,26,1,59,4,1,3,3,1,2.55,23.5,19.2,0,4,1
1,30,0,45,4,0,3,4,0,3.65,0,0,1,4,1
1,40,1,163,4,0,2,72,0,39,31.25,0,1,2,0
1,56,0,63,2,1,1,44,0,7.5,20.25,0,0,3,1
1,43,0,27,3,0,1,50,0,15,45.25,0,0,3,0
2,50,1,190,2,1,2,61,1,16.85,0,44.1,1,2,0
1,52,1,106,2,0,2,34,0,4.95,19,0,0,3,0
3,54,1,26,3,1,2,26,1,5.2,23.5,39.25,1,4,1
1,46,1,63,5,0,2,15,1,3.7,16.5,33.1,1,4,1
3,39,0,27,3,1,3,10,0,3,0,0,1,1,0
1,34,0,22,5,1,1,7,0,4.65,0,0,0,1,0
3,59,0,944,5,1,1,67,1,26.75,32,65.8,1,4,0
3,49,0,87,2,1,1,70,0,25.6,33.5,0,0,3,0
3,36,1,39,3,1,3,50,0,13.15,0,0,1,2,1
